# U	Ekin	Epot	Etot
12.000000	-0.186092	0.095402	-0.090690
11.600000	-0.185399	0.090052	-0.095347
11.200000	-0.192569	0.089573	-0.102996
10.800000	-0.203151	0.101041	-0.102110
10.400000	-0.211593	0.100730	-0.110863
10.000000	-0.223438	0.109529	-0.113909
9.600000	-0.236911	0.117841	-0.119070
9.200000	-0.255866	0.130024	-0.125842
8.800000	-0.410919	0.255917	-0.155001
8.400000	-0.441727	0.273769	-0.167958
8.000000	-0.470346	0.288031	-0.182315
