# U	Ekin	Epot	Etot
12.000000	-0.271827	0.900744	0.628917
11.000000	-0.356913	0.822428	0.465514
10.000000	-0.433472	0.739628	0.306155
9.000000	-0.500427	0.650764	0.150337
8.000000	-0.553803	0.555521	0.001718
9.000000	-0.500427	0.650764	0.150337
10.000000	-0.433472	0.739628	0.306155
11.000000	-0.356913	0.822428	0.465514
12.000000	-0.271827	0.900744	0.628917
